celda,origen,plano,bin,ancla,n_semillas,frac_lcc_inicial,media_nulo_uniforme,desvio_nulo_uniforme,z,p_empirico
gene_a_disease,Gene,disease,bajo,4998,5,0.1111111111111111,0.11144444444444448,0.006076670628389028,-0.054854599453870535,1.0
gene_a_disease,Gene,disease,bajo,943,5,0.3333333333333333,0.16766666666666663,0.012871156384205216,12.871156384205216,0.006
gene_a_disease,Gene,disease,bajo,729238,5,1.0,0.20020000000000004,0.006321392251711643,126.5227608338081,0.0
gene_a_disease,Gene,disease,bajo,6623,6,1.0,0.16716666666666663,0.009115005942583545,91.3694778236509,0.0
gene_a_disease,Gene,disease,bajo,4489,6,0.25,0.125125,0.003950870157319777,31.60696125855822,0.001
gene_a_disease,Gene,disease,bajo,6355,6,0.2857142857142857,0.1431428571428571,0.006382373686768192,22.338307903688687,0.002
gene_a_disease,Gene,disease,bajo,5473,5,0.4,0.20020000000000004,0.006321392251711643,31.606961258558215,0.001
gene_a_disease,Gene,disease,bajo,5170,6,0.5714285714285714,0.1431428571428571,0.006382373686768192,67.10445600727321,0.0
gene_a_disease,Gene,disease,bajo,23042,5,0.4,0.20020000000000004,0.006321392251711643,31.606961258558215,0.001
gene_a_disease,Gene,disease,bajo,9332,5,0.14285714285714285,0.1431428571428571,0.006382373686768193,-0.04476614810357898,1.0
gene_a_disease,Gene,disease,bajo,2534,6,0.16666666666666666,0.08366666666666664,0.005259911279353166,15.779733838059505,0.004
gene_a_disease,Gene,disease,bajo,2350,6,0.42857142857142855,0.14328571428571424,0.010092429977817181,28.267296866340676,0.001
gene_a_disease,Gene,disease,bajo,80216,5,0.2,0.20020000000000004,0.006321392251711643,-0.031638599858421934,1.0
gene_a_disease,Gene,disease,bajo,8021,5,0.125,0.1255,0.00788986691902975,-0.06337242505244785,1.0
gene_a_disease,Gene,disease,bajo,717,5,0.08333333333333333,0.08383333333333332,0.006435578192102608,-0.0776930968865485,1.0
gene_a_disease,Gene,disease,bajo,1266,5,0.6,0.20020000000000004,0.006321392251711643,63.24556111697484,0.0
gene_a_disease,Gene,disease,bajo,6272,5,0.4,0.20020000000000004,0.006321392251711643,31.606961258558215,0.001
gene_a_disease,Gene,disease,bajo,369,5,0.6,0.20020000000000004,0.006321392251711643,63.24556111697484,0.0
gene_a_disease,Gene,disease,bajo,3482,6,0.2,0.10020000000000001,0.004467661580737735,22.338307903688676,0.002
gene_a_disease,Gene,disease,bajo,4942,6,0.3333333333333333,0.1668333333333333,0.0052678268764263705,31.60696125855821,0.001
gene_a_disease,Gene,disease,bajo,55379,6,0.2857142857142857,0.1428571428571428,5.551115123125783e-17,2573485501354570.0,0.0
gene_a_disease,Gene,disease,bajo,57412,5,0.4,0.20040000000000002,0.00893532316147547,22.338307903688676,0.002
