id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
CHEMBL4297800,DRUGBANK:DB15290,PEGTEOGRASTIM,Pegteograstim,1,8,2,True,True,False,False,False,False,pegteograstim,Pegteograstim,,,,,True,True
CHEMBL4297801,DRUGBANK:DB14992,PEGUNIGALSIDASE ALFA,Pegunigalsidase alfa,1,2,2,True,True,False,False,False,False,pegunigalsidase alfa,Pegunigalsidase alfa,,,,,True,True
CHEMBL4297802,DRUGBANK:DB12839,PEGVALIASE,Pegvaliase,1,36,2,True,True,False,False,False,False,pegvaliase,Pegvaliase,,,,,True,True
CHEMBL4297809,DRUGBANK:DB15395,ELRANATAMAB,Elranatamab,2,1,2,True,True,False,False,False,False,elranatamab,Elranatamab,,,,,True,True
CHEMBL4297819,DRUGBANK:DB15119,ROPEGINTERFERON ALFA-2B,Ropeginterferon alfa-2b,10,191,2,True,True,False,False,False,False,ropeginterferon alfa 2b,Ropeginterferon alfa-2b,,,,,True,True
CHEMBL4297820,DRUGBANK:DB14919,ROZANOLIXIZUMAB,Rozanolixizumab,5,604,2,True,True,False,False,False,False,rozanolixizumab,Rozanolixizumab,,,,,False,True
CHEMBL4297830,DRUGBANK:DB14960,SOMATROGON,Somatrogon,1,1,2,True,True,False,False,False,False,somatrogon,Somatrogon,,,,,True,True
CHEMBL4297832,DRUGBANK:DB14996,SUTIMLIMAB,Sutimlimab,5,1,2,True,True,False,False,False,False,sutimlimab,Sutimlimab,,,,,True,True
CHEMBL4297839,DRUGBANK:DB15171,TIRZEPATIDE,Tirzepatide,6,579,2,True,True,False,False,False,False,tirzepatide,Tirzepatide,,,,,True,True
CHEMBL4297841,DRUGBANK:DB16732,TISOTUMAB VEDOTIN,Tisotumab vedotin,6,1,2,True,True,False,False,False,False,tisotumab vedotin,Tisotumab vedotin,,,,,True,True
CHEMBL4297844,DRUGBANK:DB14962,TRASTUZUMAB DERUXTECAN,Trastuzumab deruxtecan,15,334,2,True,True,False,False,False,False,trastuzumab deruxtecan,Trastuzumab deruxtecan,,,,,True,True
CHEMBL4297850,DRUGBANK:DB14871,XENTUZUMAB,Xentuzumab,5,333,2,True,True,False,False,False,False,xentuzumab,Xentuzumab,,,,,True,True
CHEMBL4297862,DRUGBANK:DB00083,BOTULINUM TOXIN TYPE A,Botulinum toxin type A,9,803,2,True,True,False,False,False,False,botulinum toxin type a,Botulinum toxin type A,,,,,True,True
CHEMBL4297870,DRUGBANK:DB15225,MITAZALIMAB,Mitazalimab,3,333,2,True,True,False,False,False,False,mitazalimab,Mitazalimab,,,,,True,True
CHEMBL4297873,DRUGBANK:DB00025,"ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT","Antihemophilic factor, human recombinant",2,96,2,True,True,False,False,False,False,antihemophilic factor human recombinant,"Antihemophilic factor, human recombinant",,,,,True,True
CHEMBL4297886,DRUGBANK:DB15160,ASUNERCEPT,Asunercept,3,333,2,True,True,False,False,False,False,asunercept,Asunercept,,,,,True,True
CHEMBL4297897,DRUGBANK:DB15332,RADAVIRSEN,Radavirsen,1,12,2,True,True,False,False,False,False,radavirsen,Radavirsen,,,,,True,True
CHEMBL4297918,DRUGBANK:DB14778,SETRUSUMAB,Setrusumab,3,333,2,True,True,False,False,False,False,setrusumab,Setrusumab,,,,,True,True
